Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020]
Brazil,BRA,Trade (% of GDP),NE.TRD.GNFS.ZS,28.8902578692948,32.8904521044545
British Virgin Islands,VGB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
British Virgin Islands,VGB,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Brunei Darussalam,BRN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10598249211.6369,9770035506.9247
Brunei Darussalam,BRN,Trade (% of GDP),NE.TRD.GNFS.ZS,108.509658357959,110.291003658452
Bulgaria,BGR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,57001320707.4907,58523777565.2601
Bulgaria,BGR,Trade (% of GDP),NE.TRD.GNFS.ZS,124.63959983931,110.281829998235
Burkina Faso,BFA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,13670353375.3735,14663660244.0375
Burkina Faso,BFA,Trade (% of GDP),NE.TRD.GNFS.ZS,58.6641672388108,..
Burundi,BDI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1910726312.51272,2063862336.34755
Burundi,BDI,Trade (% of GDP),NE.TRD.GNFS.ZS,29.0262100000001,26.7733299999999
Cabo Verde,CPV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1692359918.28771,1438860795.20021
Cabo Verde,CPV,Trade (% of GDP),NE.TRD.GNFS.ZS,115.907155590446,84.6927365649626
Cambodia,KHM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,22749428250.2872,22065187042.6614
Cambodia,KHM,Trade (% of GDP),NE.TRD.GNFS.ZS,123.55652376833,123.503008858011
Cameroon,CMR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,32082428566.4225,33692622626.1273
Cameroon,CMR,Trade (% of GDP),NE.TRD.GNFS.ZS,43.3785132480415,33.7389804984186
Canada,CAN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1421423437049.95,1332263446826.39
Canada,CAN,Trade (% of GDP),NE.TRD.GNFS.ZS,65.4123620794239,60.7825304382345
Cayman Islands,CYM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Cayman Islands,CYM,Trade (% of GDP),NE.TRD.GNFS.ZS,114.809971456912,106.348548569207
Central African Republic,CAF,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1918026098.77956,1936268401.13301
Central African Republic,CAF,Trade (% of GDP),NE.TRD.GNFS.ZS,50.0658000014868,49.5210200011921
Chad,TCD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,8147213441.08338,7507553247.47557
Chad,TCD,Trade (% of GDP),NE.TRD.GNFS.ZS,74.5705255558558,68.7303601414611
Channel Islands,CHI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Channel Islands,CHI,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Chile,CHL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,217037331394.788,197885542745.077
Chile,CHL,Trade (% of GDP),NE.TRD.GNFS.ZS,57.5279738495935,58.5041598225598
China,CHN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10622646613018.9,10685246891554.6
China,CHN,Trade (% of GDP),NE.TRD.GNFS.ZS,35.8900960342649,34.7542957760482
Colombia,COL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,266333067982.397,227403542237.101
Colombia,COL,Trade (% of GDP),NE.TRD.GNFS.ZS,37.558533980839,33.9042313203213
Comoros,COM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1066950356.43597,1109371109.89833
Comoros,COM,Trade (% of GDP),NE.TRD.GNFS.ZS,42.2680785350184,33.7299346157491
"Congo, Dem. Rep.",COD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,41419495906.5423,38692877464.5508
"Congo, Dem. Rep.",COD,Trade (% of GDP),NE.TRD.GNFS.ZS,55.2351580391404,58.4917573282023
"Congo, Rep.",COG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3442036141.56006,3928807446.78676
"Congo, Rep.",COG,Trade (% of GDP),NE.TRD.GNFS.ZS,126.955610621621,99.4222188863604
Costa Rica,CRI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,56768351249.9703,54509217554.9785
Costa Rica,CRI,Trade (% of GDP),NE.TRD.GNFS.ZS,65.7605300176622,60.1050719309166
Cote d'Ivoire,CIV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,54376379533.6416,57263296069.9348
Cote d'Ivoire,CIV,Trade (% of GDP),NE.TRD.GNFS.ZS,46.4009144551692,42.2045210417253
Croatia,HRV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,51948450710.7219,49110186108.0055
Croatia,HRV,Trade (% of GDP),NE.TRD.GNFS.ZS,101.600508370749,89.9854000108931
Cuba,CUB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Cuba,CUB,Trade (% of GDP),NE.TRD.GNFS.ZS,22.8207061917469,15.6829868097474
Curacao,CUW,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Curacao,CUW,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Cyprus,CYP,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,21501178247.7844,20121095278.8857
Cyprus,CYP,Trade (% of GDP),NE.TRD.GNFS.ZS,151.955184593039,164.155739120399
Czechia,CZE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,186271495814.353,183713536641.816
Czechia,CZE,Trade (% of GDP),NE.TRD.GNFS.ZS,141.771023662617,133.148319770557
Denmark,DNK,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,298859026239.489,307118758023.495
Denmark,DNK,Trade (% of GDP),NE.TRD.GNFS.ZS,110.224828604234,103.512259565605
Djibouti,DJI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2844089801.13166,2921776635.34316
Djibouti,DJI,Trade (% of GDP),NE.TRD.GNFS.ZS,320.939002998625,223.123780275631
Dominica,DMA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,509670177.893329,440043846.047407
Dominica,DMA,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Dominican Republic,DOM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,79217838516.6384,69413648361.4361
Dominican Republic,DOM,Trade (% of GDP),NE.TRD.GNFS.ZS,51.0111449209557,44.2936565524675
Ecuador,ECU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,82010491811.2907,73821637107.6124
Ecuador,ECU,Trade (% of GDP),NE.TRD.GNFS.ZS,46.0768211909258,41.3752300759532
"Egypt, Arab Rep.",EGY,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,262394976331.958,324776875974.619
"Egypt, Arab Rep.",EGY,Trade (% of GDP),NE.TRD.GNFS.ZS,43.24045019823,33.7591801878736
El Salvador,SLV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,21799043846.5321,19685112714.2066
El Salvador,SLV,Trade (% of GDP),NE.TRD.GNFS.ZS,76.0420130991468,69.4511505507059
Equatorial Guinea,GNQ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4714808879.73817,4468538385.68199
Equatorial Guinea,GNQ,Trade (% of GDP),NE.TRD.GNFS.ZS,94.8787924253545,89.4273700743499
Eritrea,ERI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Eritrea,ERI,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Estonia,EST,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,25802212077.3129,25797301463.3627
Estonia,EST,Trade (% of GDP),NE.TRD.GNFS.ZS,143.754530253766,138.466338699949
Eswatini,SWZ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3376562324.19436,2935816040.04954
Eswatini,SWZ,Trade (% of GDP),NE.TRD.GNFS.ZS,88.6121939844998,86.8845051575523
Ethiopia,ETH,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,81877685968.2936,92857766398.1746
Ethiopia,ETH,Trade (% of GDP),NE.TRD.GNFS.ZS,28.8153010070423,24.006113643482
Faroe Islands,FRO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Faroe Islands,FRO,Trade (% of GDP),NE.TRD.GNFS.ZS,108.31693138646,96.9096563827735
Fiji,FJI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4296939797.3838,3634082788.61773
Fiji,FJI,Trade (% of GDP),NE.TRD.GNFS.ZS,106.680865836528,71.7367643857876
Finland,FIN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,219053976171.47,220995965102.331
Finland,FIN,Trade (% of GDP),NE.TRD.GNFS.ZS,79.605433214652,71.6341165251656
France,FRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2286387728814.01,2140780015515.96
France,FRA,Trade (% of GDP),NE.TRD.GNFS.ZS,64.1414731902028,56.8638228861759
French Polynesia,PYF,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
French Polynesia,PYF,Trade (% of GDP),NE.TRD.GNFS.ZS,55.4651459086638,46.8522356428257
Gabon,GAB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,9981301609.54359,9653925697.21165
Gabon,GAB,Trade (% of GDP),NE.TRD.GNFS.ZS,73.4280894486644,70.0599965872424
"Gambia, The",GMB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1387800886.62195,1441628143.4892
"Gambia, The",GMB,Trade (% of GDP),NE.TRD.GNFS.ZS,53.2696525651825,47.5003650253904
Georgia,GEO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,14148857742.6081,12720459834.7052
Georgia,GEO,Trade (% of GDP),NE.TRD.GNFS.ZS,118.599368307339,93.8757982916676
Germany,DEU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3292399973632.14,3195511864920.2
Germany,DEU,Trade (% of GDP),NE.TRD.GNFS.ZS,87.6864098858133,80.3983050598603
Ghana,GHA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,52946920254.9233,58310998298.2404
Ghana,GHA,Trade (% of GDP),NE.TRD.GNFS.ZS,76.8248018271755,38.5168616613129
Gibraltar,GIB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Gibraltar,GIB,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Greece,GRC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,172816646320.951,157851496052.798
Greece,GRC,Trade (% of GDP),NE.TRD.GNFS.ZS,81.8842261522364,71.6708449331299
Greenland,GRL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Greenland,GRL,Trade (% of GDP),NE.TRD.GNFS.ZS,92.2825782157593,85.1989703631557
Grenada,GRD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Grenada,GRD,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Guam,GUM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Guam,GUM,Trade (% of GDP),NE.TRD.GNFS.ZS,77.8353754319824,63.778457356439
Guatemala,GTM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,65972365520.6027,66643726740.95
Guatemala,GTM,Trade (% of GDP),NE.TRD.GNFS.ZS,45.5178479962985,41.1586391233494
Guinea,GIN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10949182418.568,12082621148.3266
Guinea,GIN,Trade (% of GDP),NE.TRD.GNFS.ZS,78.4153132285974,132.382512353623
Guinea-Bissau,GNB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1258318626.40901,1237840560.71118
Guinea-Bissau,GNB,Trade (% of GDP),NE.TRD.GNFS.ZS,55.3725855838767,43.6358403713142
Guyana,GUY,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4713371632.95663,3550709873.90339
Guyana,GUY,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Haiti,HTI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,13944784800.7346,13625392396.9198
Haiti,HTI,Trade (% of GDP),NE.TRD.GNFS.ZS,49.1619970443397,37.4138917322082
Honduras,HND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,21818867424.5951,21103947752.0621
Honduras,HND,Trade (% of GDP),NE.TRD.GNFS.ZS,98.0275897083463,85.6194181108955
"Hong Kong SAR, China",HKG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
"Hong Kong SAR, China",HKG,Trade (% of GDP),NE.TRD.GNFS.ZS,353.759486903144,350.68120288163
Hungary,HUN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,132628705691.376,124370946543.768
Hungary,HUN,Trade (% of GDP),NE.TRD.GNFS.ZS,160.782579643207,155.528377465987
Iceland,ISL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,20736980234.9111,17607586400.4223
Iceland,ISL,Trade (% of GDP),NE.TRD.GNFS.ZS,84.2053858648925,69.4597711238318
India,IND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2507336797306.21,2322110843170.26
India,IND,Trade (% of GDP),NE.TRD.GNFS.ZS,39.9625279339591,37.8053535787506
Indonesia,IDN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,888915139181.808,845734575700.635
Indonesia,IDN,Trade (% of GDP),NE.TRD.GNFS.ZS,37.6277775357108,32.9755955724898
"Iran, Islamic Rep.",IRN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,193462971627.444,153713761006.636
"Iran, Islamic Rep.",IRN,Trade (% of GDP),NE.TRD.GNFS.ZS,50.7543342226066,43.810164592851
Iraq,IRQ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,178952656565.981,129611037478.282
Iraq,IRQ,Trade (% of GDP),NE.TRD.GNFS.ZS,68.9899384202806,56.6548815420925
Ireland,IRL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,212558119884.453,206727928226.541
Ireland,IRL,Trade (% of GDP),NE.TRD.GNFS.ZS,252.249498215744,247.765763330236
Isle of Man,IMN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Isle of Man,IMN,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Israel,ISR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,344085117979.115,345983129641.516
Israel,ISR,Trade (% of GDP),NE.TRD.GNFS.ZS,56.3464191037359,50.8833770517489
Italy,ITA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1674476237969.1,1544598923897.91
Italy,ITA,Trade (% of GDP),NE.TRD.GNFS.ZS,59.8789802234549,55.2862862058745
Jamaica,JAM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,14208783383.9141,12421957715.0475
Jamaica,JAM,Trade (% of GDP),NE.TRD.GNFS.ZS,90.1106076335994,65.8597662344529
Japan,JPN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4012802641669.74,3940632869768.95
Japan,JPN,Trade (% of GDP),NE.TRD.GNFS.ZS,35.1798202012852,31.3587116286485
Jordan,JOR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,42071717584.6607,41462946261.7799
